,Unnamed: 0,index,condition,image_index,key_press,rt,response,stimulus_side,prioritization_cue,subject,side,run,coherency,prioritization,category
158,163,15,2.0,6.0,1.0,0.6530064699145439,1.0,1,double,17,inside,3,high,no,car
159,164,16,4.0,37.0,1.0,0.49679587249193,1.0,1,double,17,inside,3,low,no,car
160,165,17,2.0,7.0,1.0,0.7120331867517958,1.0,0,double,17,inside,3,high,no,car
161,166,18,2.0,20.0,2.0,0.490437577980629,1.0,0,double,17,inside,3,high,no,face
162,167,19,2.0,5.0,1.0,0.971300622608396,1.0,1,double,17,inside,3,high,no,car
163,168,20,3.0,64.0,2.0,0.768760595863569,1.0,0,left,17,inside,3,low,yes,face
164,169,21,4.0,60.0,1.0,0.590734514695214,0.0,1,double,17,inside,3,low,no,face
165,170,22,1.0,15.0,1.0,0.51779688633178,1.0,0,left,17,inside,3,high,yes,car
166,171,23,1.0,24.0,2.0,0.442032666771411,1.0,1,right,17,inside,3,high,yes,face
167,172,24,3.0,39.0,1.0,0.409776062198944,1.0,0,left,17,inside,3,low,yes,car
168,173,25,3.0,69.0,1.0,0.625472666772112,0.0,0,left,17,inside,3,low,yes,face
169,174,26,1.0,9.0,1.0,0.6455201915705401,1.0,0,left,17,inside,3,high,yes,car
170,175,27,2.0,36.0,2.0,0.7607859231866311,1.0,1,double,17,inside,3,high,no,face
171,176,28,2.0,30.0,2.0,0.604972949775402,1.0,0,double,17,inside,3,high,no,face
172,177,29,1.0,36.0,2.0,0.730329329810047,1.0,0,left,17,inside,3,high,yes,face
173,178,30,1.0,29.0,1.0,0.7104493410042779,0.0,1,right,17,inside,3,high,yes,face
174,179,31,2.0,21.0,2.0,0.647643442076514,1.0,1,double,17,inside,3,high,no,face
175,180,32,4.0,51.0,1.0,0.54667501788208,1.0,0,double,17,inside,3,low,no,car
176,181,33,2.0,3.0,1.0,0.7718461974800451,1.0,1,double,17,inside,3,high,no,car
177,182,34,4.0,70.0,2.0,0.7577917935013829,1.0,0,double,17,inside,3,low,no,face
178,183,35,4.0,66.0,1.0,0.7645742858039741,0.0,0,double,17,inside,3,low,no,face
179,184,36,3.0,59.0,1.0,1.3108824384798945,0.0,1,right,17,inside,3,low,yes,face
180,185,37,2.0,31.0,2.0,0.66733039340761,1.0,0,double,17,inside,3,high,no,face
181,186,38,1.0,33.0,2.0,0.450016343336756,1.0,0,left,17,inside,3,high,yes,face
182,187,39,1.0,14.0,1.0,0.505619719482638,1.0,0,left,17,inside,3,high,yes,car
183,188,40,2.0,14.0,2.0,0.680287086921453,0.0,0,double,17,inside,3,high,no,car
184,189,41,4.0,67.0,1.0,1.3108824384798945,0.0,1,double,17,inside,3,low,no,face
185,190,42,4.0,50.0,1.0,0.609999328251433,1.0,1,double,17,inside,3,low,no,car
186,191,43,2.0,4.0,1.0,0.629277405070752,1.0,1,double,17,inside,3,high,no,car
187,192,44,3.0,71.0,1.0,0.7000976942945271,0.0,1,right,17,inside,3,low,yes,face
188,193,45,3.0,37.0,1.0,0.530169237754308,1.0,1,right,17,inside,3,low,yes,car
189,194,46,1.0,34.0,2.0,0.5322114632253939,1.0,1,right,17,inside,3,high,yes,face
190,195,47,3.0,60.0,1.0,0.591536420462944,0.0,0,left,17,inside,3,low,yes,face
191,196,48,3.0,72.0,1.0,0.7091088838460559,0.0,0,left,17,inside,3,low,yes,face
192,197,49,3.0,65.0,1.0,0.633590774687036,0.0,0,left,17,inside,3,low,yes,face
193,198,50,4.0,64.0,2.0,0.663522604882019,1.0,0,double,17,inside,3,low,no,face
194,199,51,3.0,53.0,1.0,0.585255585756386,1.0,1,right,17,inside,3,low,yes,car
195,200,52,1.0,2.0,2.0,0.559626847454638,0.0,1,right,17,inside,3,high,yes,car
196,201,53,4.0,65.0,1.0,1.3108824384798945,0.0,0,double,17,inside,3,low,no,face
197,202,54,2.0,23.0,2.0,0.7758546789009421,1.0,0,double,17,inside,3,high,no,face
198,203,55,1.0,4.0,1.0,0.514628975899541,1.0,0,left,17,inside,3,high,yes,car
199,204,56,2.0,16.0,1.0,0.5717168788651179,1.0,0,double,17,inside,3,high,no,car
200,205,57,4.0,63.0,1.0,1.3108824384798945,0.0,1,double,17,inside,3,low,no,face
201,206,58,1.0,23.0,2.0,0.23767342683640905,1.0,1,right,17,inside,3,high,yes,face
202,207,59,4.0,40.0,1.0,1.3108824384798945,1.0,1,double,17,inside,3,low,no,car
203,208,60,4.0,42.0,2.0,1.03621229668715,0.0,1,double,17,inside,3,low,no,car
204,209,61,2.0,32.0,2.0,0.6869583206353129,1.0,1,double,17,inside,3,high,no,face
205,210,62,3.0,42.0,1.0,0.646181592906942,1.0,0,left,17,inside,3,low,yes,car
206,211,63,4.0,46.0,1.0,0.994542544551223,1.0,1,double,17,inside,3,low,no,car
207,212,64,2.0,2.0,1.0,0.5195295114317561,1.0,1,double,17,inside,3,high,no,car
208,213,65,4.0,47.0,1.0,0.607839611879172,1.0,0,double,17,inside,3,low,no,car
209,214,66,4.0,49.0,1.0,0.586024016170995,1.0,0,double,17,inside,3,low,no,car
210,215,67,3.0,41.0,1.0,1.3108824384798945,1.0,0,left,17,inside,3,low,yes,car
211,216,68,1.0,5.0,1.0,0.524348156119231,1.0,1,right,17,inside,3,high,yes,car
212,217,69,1.0,26.0,2.0,1.24039347162397,1.0,0,left,17,inside,3,high,yes,face
213,218,70,1.0,1.0,1.0,0.443145785102388,1.0,0,left,17,inside,3,high,yes,car
214,219,71,3.0,40.0,1.0,0.466794036383362,1.0,0,left,17,inside,3,low,yes,car
215,220,72,3.0,49.0,1.0,0.449080770020373,1.0,1,right,17,inside,3,low,yes,car
216,223,1,3.0,39.0,1.0,0.8238809814974959,1.0,0,left,17,inside,2,low,yes,car
217,224,2,2.0,2.0,1.0,0.538164953504747,1.0,1,double,17,inside,2,high,no,car
218,225,3,2.0,20.0,2.0,0.5966215095613729,1.0,0,double,17,inside,2,high,no,face
219,226,4,1.0,7.0,1.0,0.8345028468356759,1.0,1,right,17,inside,2,high,yes,car
220,227,5,4.0,50.0,1.0,0.5820860357634959,1.0,1,double,17,inside,2,low,no,car
221,228,6,3.0,37.0,1.0,0.697809808738384,1.0,1,right,17,inside,2,low,yes,car
222,229,7,2.0,5.0,1.0,0.8222593139471429,1.0,0,double,17,inside,2,high,no,car
223,230,8,4.0,43.0,1.0,0.694768169181771,1.0,1,double,17,inside,2,low,no,car
224,231,9,1.0,30.0,2.0,0.8535865874691809,1.0,0,left,17,inside,2,high,yes,face
225,232,10,2.0,9.0,1.0,0.8471570679539581,1.0,0,double,17,inside,2,high,no,car
226,233,11,4.0,52.0,1.0,0.6301060289224549,1.0,0,double,17,inside,2,low,no,car
227,234,12,1.0,3.0,1.0,0.630759040894191,1.0,0,left,17,inside,2,high,yes,car
228,235,13,3.0,52.0,1.0,0.6906343871851279,1.0,1,right,17,inside,2,low,yes,car
229,236,14,1.0,1.0,1.0,0.6444091058947379,1.0,1,right,17,inside,2,high,yes,car
230,237,15,3.0,53.0,1.0,0.529755392319203,1.0,1,right,17,inside,2,low,yes,car
231,238,16,2.0,6.0,1.0,0.830253218471626,1.0,1,double,17,inside,2,high,no,car
232,239,17,1.0,11.0,1.0,0.822465136992832,1.0,0,left,17,inside,2,high,yes,car
233,240,18,3.0,71.0,2.0,0.947861386408476,1.0,1,right,17,inside,2,low,yes,face
234,241,19,1.0,23.0,2.0,0.534569409421238,1.0,0,left,17,inside,2,high,yes,face
235,242,20,4.0,44.0,1.0,0.7339190918974051,1.0,0,double,17,inside,2,low,no,car
236,243,21,4.0,66.0,2.0,0.8294735176496031,1.0,1,double,17,inside,2,low,no,face
